"Table with row headers in column A and column headers in rows 5, 58, 111, 164, 217, 270, 323, 376, 429, 482, 535, 588, 641, 694, 747, 800, 853, 906, 959, 1012, 1065, 1118, 1171, 1224, 1277, 1330, 1383, 1436, 1489, 1542, 1595, 1648, 1701, 1754, 1807, 1860, 1913, 1966, 2019, 2072, 2125, 2178, 2231, 2284, 2337, and 2390",,,,,
Table 19. Number of Poor and Poverty Rate by State: 1980 to 2023,,,,,
"(Population in thousands. Population as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar24.pdf>)",,,,,
2023,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Missouri,"5,606",602,90,10.7,1.5
Montana,915,139,21,15.1,2.1
Nebraska,"1,725",168,28,9.8,1.6
Nevada,"2,242",244,36,10.9,1.5
New Hampshire,"1,263",73,15,5.8,1.2
New Jersey,"8,574",741,99,8.6,1.2
New Mexico,"1,867",338,49,18.1,2.5
New York,"18,920","2,707",197,14.3,1.0
North Carolina,"8,223","1,289",141,15.7,1.6
North Dakota,631,61,10,9.7,1.5
Ohio,"11,230","1,226",137,10.9,1.2
Oklahoma,"3,430",440,66,12.8,1.8
Oregon,"3,560",446,66,12.5,1.8
Pennsylvania,"12,140","1,279",135,10.5,1.0
Rhode Island,"1,051",121,16,11.5,1.5
South Carolina,"4,060",516,76,12.7,1.8
South Dakota,749,95,13,12.7,1.6
Tennessee,"5,901",829,123,14.0,2.0
Texas,"21,830","3,705",280,17.0,1.2
Utah,"2,346",213,38,9.1,1.5
Vermont,610,52,8,8.5,1.5
Virginia,"7,367",740,117,10.0,1.5
Washington,"6,078",766,112,12.6,1.8
West Virginia,"1,785",310,38,17.4,2.0
Wisconsin,"5,412",528,79,9.8,1.3
Wyoming,487,48,8,9.8,1.6
2002,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,432",640,90,14.5,2.0
Alaska,632,56,10,8.8,1.5
Arizona,"5,424",735,114,13.5,2.0
Arkansas,"2,690",532,69,19.8,2.3
California,"35,070","4,605",324,13.1,0.8
Colorado,"4,470",436,66,9.8,1.3
Connecticut,"3,377",279,46,8.3,1.3
Delaware,796,73,13,9.1,1.6
District of Columbia,570,97,13,17.0,2.3
Florida,"16,390","2,058",184,12.6,1.0
Georgia,"8,413",939,148,11.2,1.6
Hawaii,"1,219",138,23,11.3,1.6
Idaho,"1,296",147,25,11.3,1.8
Illinois,"12,500","1,594",158,12.8,1.2
Indiana,"6,086",552,84,9.1,1.3
Iowa,"2,899",267,44,9.2,1.5
Kansas,"2,681",269,43,10.1,1.5
Kentucky,"4,033",571,81,14.2,1.8
Louisiana,"4,445",777,105,17.5,2.1
Maine,"1,265",170,21,13.4,1.6
Maryland,"5,419",400,72,7.4,1.3
Massachusetts,"6,469",648,92,10.0,1.3
Michigan,"9,897","1,152",128,11.6,1.2
Minnesota,"5,044",325,61,6.5,1.2
Mississippi,"2,785",513,72,18.4,2.3
Missouri,"5,581",551,87,9.9,1.5
Montana,902,122,20,13.5,2.1
Nebraska,"1,700",181,30,10.6,1.6
Nevada,"2,114",188,31,8.9,1.5
New Hampshire,"1,264",73,15,5.8,1.2
New Jersey,"8,585",681,94,7.9,1.0
New Mexico,"1,837",328,49,17.9,2.5
New York,"19,220","2,690",197,14.0,1.0
North Carolina,"8,146","1,165",135,14.3,1.5
North Dakota,632,73,12,11.6,1.6
Ohio,"11,250","1,099",130,9.8,1.2
Oklahoma,"3,473",489,71,14.1,1.8
Oregon,"3,503",380,61,10.9,1.6
Pennsylvania,"12,170","1,152",128,9.5,1.0
Rhode Island,"1,055",116,16,11.0,1.5
South Carolina,"3,989",568,81,14.3,1.8
South Dakota,743,85,13,11.5,1.6
Tennessee,"5,655",839,123,14.8,2.0
Texas,"21,480","3,362",266,15.6,1.2
Utah,"2,308",228,39,9.9,1.6
Vermont,616,61,10,9.9,1.5
Virginia,"7,108",702,114,9.9,1.5
Washington,"5,988",657,104,11.0,1.6
West Virginia,"1,747",293,36,16.8,2.0
Wisconsin,"5,463",467,74,8.6,1.3
Wyoming,488,44,8,9.0,1.5
2001,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,378",696,94,15.9,2.0
Alaska,632,54,10,8.5,1.5
Arizona,"5,314",778,117,14.6,2.0
Arkansas,"2,650",472,64,17.8,2.3
California,"34,390","4,321",314,12.6,0.8
Colorado,"4,402",383,61,8.7,1.3
Connecticut,"3,385",249,44,7.3,1.3
Delaware,790,53,12,6.7,1.5
District of Columbia,554,101,15,18.2,2.3
Florida,"16,320","2,077",184,12.7,1.2
Georgia,"8,261","1,069",158,12.9,1.8
Hawaii,"1,205",138,21,11.4,1.8
Idaho,"1,314",151,25,11.5,1.8
Illinois,"12,310","1,249",140,10.1,1.2
Indiana,"6,030",511,81,8.5,1.3
Iowa,"2,858",212,39,7.4,1.3
Kansas,"2,635",267,43,10.1,1.5
Kentucky,"3,989",503,76,12.6,1.8
Louisiana,"4,372",709,100,16.2,2.1
Maine,"1,277",132,20,10.3,1.5
Maryland,"5,318",385,71,7.2,1.3
Massachusetts,"6,302",561,86,8.9,1.3
Michigan,"9,880",927,115,9.4,1.2
Minnesota,"4,910",361,64,7.4,1.3
Mississippi,"2,794",539,74,19.3,2.3
Missouri,"5,513",537,86,9.7,1.5
Montana,891,119,20,13.3,2.1
Nebraska,"1,680",158,28,9.4,1.6
Nevada,"2,129",152,28,7.1,1.3
New Hampshire,"1,254",81,15,6.5,1.2
New Jersey,"8,456",683,94,8.1,1.2
New Mexico,"1,795",323,49,18.0,2.5
New York,"18,780","2,664",196,14.2,1.0
North Carolina,"8,084","1,013",125,12.5,1.5
North Dakota,620,86,12,13.8,1.8
Ohio,"11,180","1,174",135,10.5,1.2
Oklahoma,"3,372",508,71,15.1,2.0
Oregon,"3,446",408,63,11.8,1.6
Pennsylvania,"12,090","1,158",128,9.6,1.0
Rhode Island,"1,043",100,15,9.6,1.3
South Carolina,"3,995",603,82,15.1,2.0
South Dakota,737,62,12,8.4,1.5
Tennessee,"5,670",802,122,14.1,2.0
Texas,"21,030","3,129",258,14.9,1.2
Utah,"2,257",238,39,10.5,1.6
Vermont,605,59,10,9.7,1.5
Virginia,"7,080",564,102,8.0,1.3
Washington,"5,920",634,102,10.7,1.6
West Virginia,"1,769",291,36,16.4,2.0
Wisconsin,"5,323",423,71,7.9,1.3
Wyoming,487,42,8,8.7,1.5
2000 (8),,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,376",583,87,13.3,1.8
Alaska,620,47,8,7.6,1.3
Arizona,"5,181",607,104,11.7,1.8
Arkansas,"2,650",436,63,16.5,2.1
California,"33,890","4,294",314,12.7,0.8
Colorado,"4,334",425,64,9.8,1.5
Connecticut,"3,365",258,44,7.7,1.3
Delaware,777,65,13,8.4,1.5
District of Columbia,552,84,13,15.2,2.1
Florida,"15,990","1,754",169,11.0,1.0
Georgia,"8,112",982,151,12.1,1.8
Hawaii,"1,195",106,20,8.9,1.5
Idaho,"1,289",162,26,12.5,2.0
Illinois,"12,270","1,307",143,10.7,1.2
Indiana,"6,007",513,81,8.5,1.3
Iowa,"2,858",237,41,8.3,1.3
Kansas,"2,649",213,38,8.0,1.3
Kentucky,"3,995",502,76,12.6,1.8
Louisiana,"4,354",750,104,17.2,2.1
Maine,"1,267",128,20,10.1,1.5
Maryland,"5,241",386,71,7.4,1.3
Massachusetts,"6,284",618,89,9.8,1.3
Michigan,"9,813",967,117,9.9,1.2
Minnesota,"4,890",276,56,5.7,1.2
Mississippi,"2,794",418,64,14.9,2.1
Missouri,"5,517",505,84,9.2,1.5
Montana,888,126,20,14.1,2.1
Nebraska,"1,679",145,26,8.6,1.5
Nevada,"2,045",180,31,8.8,1.5
New Hampshire,"1,231",56,13,4.5,1.0
New Jersey,"8,384",612,89,7.3,1.0
New Mexico,"1,790",312,48,17.5,2.5
New York,"18,750","2,604",194,13.9,1.0
North Carolina,"7,983","1,000",125,12.5,1.5
North Dakota,622,65,10,10.4,1.6
Ohio,"11,160","1,117",132,10.0,1.2
Oklahoma,"3,378",503,71,14.9,2.0
Oregon,"3,415",371,59,10.9,1.6
Pennsylvania,"12,040","1,033",122,8.6,1.0
Rhode Island,"1,035",106,15,10.2,1.5
South Carolina,"3,964",441,71,11.1,1.6
South Dakota,737,79,12,10.7,1.5
Tennessee,"5,630",759,118,13.5,2.0
Texas,"20,700","3,204",260,15.5,1.2
Utah,"2,239",170,33,7.6,1.5
Vermont,599,60,10,10.0,1.5
Virginia,"6,977",577,104,8.3,1.5
Washington,"5,863",634,102,10.8,1.6
West Virginia,"1,773",261,35,14.7,1.8
Wisconsin,"5,308",493,76,9.3,1.3
Wyoming,485,52,8,10.8,1.6
1999 (9),,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,388",668,138,15.2,3.0
Alaska,630,48,15,7.6,2.1
Arizona,"5,057",616,130,12.2,2.5
Arkansas,"2,616",384,79,14.7,2.8
California,"33,710","4,733",411,14.0,1.2
Colorado,"4,319",366,97,8.5,2.1
Connecticut,"3,418",246,84,7.2,2.3
Delaware,768,80,23,10.4,2.8
District of Columbia,545,80,20,14.7,3.3
Florida,"15,570","1,937",229,12.4,1.3
Georgia,"7,877","1,011",199,12.8,2.3
Hawaii,"1,225",133,36,10.8,2.8
Idaho,"1,240",175,36,14.1,2.8
Illinois,"12,250","1,215",184,9.9,1.5
Indiana,"5,914",396,123,6.7,2.0
Iowa,"2,856",210,64,7.4,2.1
Kansas,"2,605",320,76,12.3,2.8
Kentucky,"3,859",467,110,12.1,2.6
Louisiana,"4,289",823,148,19.2,3.1
Maine,"1,260",134,38,10.6,2.8
Maryland,"5,049",367,118,7.3,2.3
Massachusetts,"6,262",738,130,11.8,2.0
Michigan,"10,050",978,160,9.7,1.5
Minnesota,"4,868",354,105,7.3,2.1
Mississippi,"2,755",446,89,16.2,3.0
Missouri,"5,511",647,158,11.7,2.6
Montana,891,141,28,15.8,3.0
Nebraska,"1,683",184,46,11.0,2.6
Nevada,"2,033",229,53,11.3,2.5
New Hampshire,"1,255",96,31,7.6,2.5
New Jersey,"8,232",646,122,7.8,1.5
New Mexico,"1,831",383,66,20.9,3.1
New York,"18,860","2,676",257,14.2,1.3
North Carolina,"7,766","1,069",168,13.8,2.0
North Dakota,621,81,20,13.1,3.0
Ohio,"11,220","1,343",196,12.0,1.6
Oklahoma,"3,300",424,94,12.8,2.6
Oregon,"3,421",432,102,12.6,2.8
Pennsylvania,"11,950","1,117",173,9.3,1.3
Rhode Island,"1,033",103,30,10.0,2.8
South Carolina,"3,800",445,112,11.7,2.8
South Dakota,709,55,16,7.7,2.1
Tennessee,"5,583",662,158,11.9,2.6
Texas,"20,170","3,072",321,15.2,1.5
Utah,"2,194",126,39,5.7,1.8
Vermont,599,58,16,9.6,2.8
Virginia,"6,831",537,150,7.9,2.1
Washington,"5,698",545,150,9.6,2.5
West Virginia,"1,734",272,54,15.7,3.0
Wisconsin,"5,429",466,127,8.6,2.3
Wyoming,484,56,13,11.6,2.6
1998,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,190",609,132,14.5,3.0
Alaska,641,60,16,9.4,2.3
Arizona,"4,887",812,148,16.6,2.8
Arkansas,"2,559",377,79,14.7,2.8
California,"33,290","5,118",426,15.4,1.2
Colorado,"3,966",363,97,9.2,2.3
Connecticut,"3,275",310,94,9.5,2.8
Delaware,781,80,23,10.3,2.6
District of Columbia,510,114,23,22.3,3.9
Florida,"14,630","1,923",229,13.1,1.5
Georgia,"7,634","1,034",201,13.5,2.5
Hawaii,"1,201",131,36,10.9,2.8
Idaho,"1,273",165,36,13.0,2.6
Illinois,"12,260","1,234",186,10.1,1.5
Indiana,"5,830",547,145,9.4,2.3
Iowa,"2,834",257,72,9.1,2.5
Kansas,"2,615",250,67,9.6,2.5
Kentucky,"3,860",521,115,13.5,2.8
Louisiana,"4,305",821,148,19.1,3.1
Maine,"1,263",131,36,10.4,2.8
Maryland,"5,014",359,118,7.2,2.3
Massachusetts,"6,100",528,110,8.7,1.6
Michigan,"10,010","1,097",169,11.0,1.6
Minnesota,"4,815",498,125,10.3,2.5
Mississippi,"2,758",486,94,17.6,3.1
Missouri,"5,399",531,143,9.8,2.5
Montana,922,153,30,16.6,3.0
Nebraska,"1,713",211,49,12.3,2.8
Nevada,"1,845",195,49,10.6,2.5
New Hampshire,"1,216",119,36,9.8,2.8
New Jersey,"8,072",693,127,8.6,1.5
New Mexico,"1,823",371,64,20.4,3.1
New York,"18,370","3,068",275,16.7,1.3
North Carolina,"7,412","1,039",166,14.0,2.1
North Dakota,644,97,21,15.1,3.0
Ohio,"11,200","1,253",189,11.2,1.6
Oklahoma,"3,251",458,97,14.1,2.8
Oregon,"3,352",503,110,15.0,3.0
Pennsylvania,"11,890","1,338",189,11.3,1.5
Rhode Island,965,112,31,11.6,3.0
South Carolina,"3,851",527,122,13.7,3.0
South Dakota,710,77,20,10.8,2.6
Tennessee,"5,569",749,168,13.4,2.8
Texas,"19,890","2,994",317,15.1,1.5
Utah,"2,106",190,48,9.0,2.1
Vermont,592,58,16,9.9,2.8
Virginia,"6,679",589,156,8.8,2.3
Washington,"5,729",512,145,8.9,2.5
West Virginia,"1,748",312,59,17.8,3.0
Wisconsin,"5,127",449,125,8.8,2.3
Wyoming,484,51,13,10.6,2.6
1997,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,243",665,137,15.7,3.0
Alaska,640,56,15,8.8,2.3
Arizona,"4,643",797,146,17.2,3.0
Arkansas,"2,621",515,92,19.7,3.1
California,"32,880","5,459",441,16.6,1.3
Colorado,"3,921",320,92,8.2,2.3
Connecticut,"3,296",282,89,8.6,2.6
Delaware,749,72,21,9.6,2.6
District of Columbia,516,113,23,21.8,3.8
Florida,"14,350","2,056",235,14.3,1.5
Georgia,"7,631","1,109",209,14.5,2.5
Hawaii,"1,182",164,39,13.9,3.1
Idaho,"1,251",183,38,14.7,2.8
Illinois,"12,070","1,349",194,11.2,1.5
Indiana,"5,849",515,141,8.8,2.3
Iowa,"2,820",270,74,9.6,2.5
Kansas,"2,583",250,67,9.7,2.5
Kentucky,"3,913",623,127,15.9,3.0
Louisiana,"4,241",691,135,16.3,3.0
Maine,"1,222",124,36,10.1,2.8
Maryland,"5,043",422,128,8.4,2.5
Massachusetts,"5,991",732,128,12.2,2.0
Michigan,"9,783","1,006",161,10.3,1.6
Minnesota,"4,748",457,120,9.6,2.5
Mississippi,"2,731",455,90,16.7,3.0
Missouri,"5,315",627,155,11.8,2.8
Montana,892,139,28,15.6,3.0
Nebraska,"1,658",163,44,9.8,2.5
Nevada,"1,723",190,48,11.0,2.6
New Hampshire,"1,197",109,35,9.1,2.8
New Jersey,"7,967",737,130,9.3,1.6
New Mexico,"1,823",387,66,21.2,3.3
New York,"18,100","2,979",271,16.5,1.3
North Carolina,"7,345",839,148,11.4,2.0
North Dakota,638,87,20,13.6,3.0
Ohio,"11,210","1,231",188,11.0,1.6
Oklahoma,"3,321",456,97,13.7,2.6
Oregon,"3,284",382,95,11.6,2.8
Pennsylvania,"11,900","1,337",189,11.2,1.5
Rhode Island,943,120,31,12.7,3.1
South Carolina,"3,813",500,118,13.1,3.0
South Dakota,708,117,23,16.5,3.1
Tennessee,"5,536",791,173,14.3,3.0
Texas,"19,690","3,297",332,16.7,1.5
Utah,"2,085",185,48,8.9,2.1
Vermont,580,54,16,9.3,2.8
Virginia,"6,747",858,189,12.7,2.6
Washington,"5,735",529,148,9.2,2.5
West Virginia,"1,742",286,56,16.4,3.0
Wisconsin,"5,120",422,120,8.2,2.3
Wyoming,490,66,15,13.5,2.8
1996,,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,258",595,130,14.0,2.8
Alaska,657,54,15,8.2,2.1
Arizona,"4,786",980,163,20.5,3.1
Arkansas,"2,606",449,86,17.2,3.0
California,"32,310","5,472",441,16.9,1.3
Colorado,"3,869",412,104,10.6,2.5
Connecticut,"3,341",392,105,11.7,3.0
Delaware,732,63,20,8.6,2.6
District of Columbia,538,130,25,24.1,3.9
Florida,"14,340","2,037",235,14.2,1.5
Georgia,"7,390","1,097",207,14.8,2.6
Hawaii,"1,172",142,38,12.1,3.0
Idaho,"1,185",140,33,11.9,2.6
Illinois,"11,810","1,429",199,12.1,1.6
Indiana,"5,681",428,128,7.5,2.1
Iowa,"2,898",279,74,9.6,2.5
Kansas,"2,569",287,72,11.2,2.6
Kentucky,"3,877",658,130,17.0,3.1
Louisiana,"4,263",873,153,20.5,3.1
Maine,"1,203",135,38,11.2,3.0
Maryland,"5,085",522,141,10.3,2.6
Massachusetts,"6,150",622,118,10.1,1.8
Michigan,"9,572","1,068",166,11.2,1.6
Minnesota,"4,690",458,120,9.8,2.5
Mississippi,"2,797",575,102,20.6,3.3
Missouri,"5,268",500,138,9.5,2.5
Montana,908,155,30,17.0,3.0
Nebraska,"1,666",169,44,10.2,2.6
Nevada,"1,634",133,41,8.1,2.5
New Hampshire,"1,142",73,28,6.4,2.3
New Jersey,"7,858",726,128,9.2,1.6
New Mexico,"1,847",472,72,25.5,3.5
New York,"18,350","3,058",275,16.7,1.3
North Carolina,"7,254",885,153,12.2,2.0
North Dakota,628,69,18,11.0,2.6
Ohio,"11,250","1,424",201,12.7,1.6
Oklahoma,"3,344",556,107,16.6,3.0
Oregon,"3,234",382,95,11.8,2.8
Pennsylvania,"11,890","1,374",192,11.6,1.5
Rhode Island,940,104,30,11.0,3.0
South Carolina,"3,698",482,117,13.0,3.0
South Dakota,701,82,20,11.8,2.6
Tennessee,"5,528",878,181,15.9,3.0
Texas,"19,180","3,180",327,16.6,1.6
Utah,"1,998",153,43,7.7,2.1
Vermont,586,74,20,12.6,3.1
Virginia,"6,481",795,181,12.3,2.6
Washington,"5,620",666,166,11.9,2.8
West Virginia,"1,745",323,59,18.5,3.1
Wisconsin,"5,205",460,127,8.8,2.3
Wyoming,486,58,13,11.9,2.6
1995 (10),,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,396",882,141,20.1,3.3
Alaska,630,45,13,7.1,2.1
Arizona,"4,337",700,127,16.1,3.0
Arkansas,"2,532",376,72,14.9,3.0
California,"32,060","5,342",401,16.7,1.3
Colorado,"3,793",335,89,8.8,2.3
Connecticut,"3,276",318,90,9.7,2.8
Delaware,713,74,20,10.3,2.8
District of Columbia,551,122,21,22.2,3.8
Florida,"14,310","2,321",230,16.2,1.6
Georgia,"7,262",878,174,12.1,2.5
Hawaii,"1,187",122,33,10.3,2.8
Idaho,"1,154",167,33,14.5,2.8
Illinois,"11,760","1,459",189,12.4,1.6
Indiana,"5,673",545,138,9.6,2.5
Iowa,"2,894",352,79,12.2,2.8
Kansas,"2,535",273,67,10.8,2.6
Kentucky,"3,876",572,112,14.7,3.0
Louisiana,"4,306",849,135,19.7,3.1
Maine,"1,225",138,36,11.2,3.0
Maryland,"5,133",520,135,10.1,2.6
Massachusetts,"6,065",665,115,11.0,2.0
Michigan,"9,637","1,174",165,12.2,1.6
Minnesota,"4,628",427,110,9.2,2.3
Mississippi,"2,685",630,92,23.5,3.5
Missouri,"5,140",484,130,9.4,2.5
Montana,870,133,25,15.3,3.0
Nebraska,"1,648",159,41,9.6,2.5
Nevada,"1,558",173,43,11.1,2.8
New Hampshire,"1,139",60,25,5.3,2.1
New Jersey,"7,879",617,115,7.8,1.5
New Mexico,"1,806",457,61,25.3,3.5
New York,"18,260","3,020",252,16.5,1.3
North Carolina,"6,935",877,141,12.6,2.1
North Dakota,635,76,18,12.0,2.8
Ohio,"11,210","1,285",181,11.5,1.6
Oklahoma,"3,204",548,97,17.1,3.0
Oregon,"3,208",360,87,11.2,2.8
Pennsylvania,"12,030","1,464",186,12.2,1.5
Rhode Island,962,102,28,10.6,3.0
South Carolina,"3,741",744,130,19.9,3.5
South Dakota,713,103,21,14.5,3.0
Tennessee,"5,462",846,165,15.5,3.0
Texas,"18,760","3,270",303,17.4,1.6
Utah,"1,999",168,43,8.4,2.1
Vermont,593,61,16,10.3,2.8
Virginia,"6,371",648,156,10.2,2.5
Washington,"5,424",677,156,12.5,3.0
West Virginia,"1,793",300,53,16.7,3.0
Wisconsin,"5,300",449,118,8.5,2.3
Wyoming,482,59,13,12.2,2.8
1994 (11),,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,299",704,132,16.4,3.1
Alaska,592,61,13,10.2,2.3
Arizona,"4,223",673,122,15.9,3.0
Arkansas,"2,414",369,72,15.3,3.0
California,"31,670","5,658",383,17.9,1.2
Colorado,"3,736",335,90,9.0,2.5
Connecticut,"3,192",344,97,10.8,3.1
Delaware,681,57,18,8.3,2.6
District of Columbia,607,129,25,21.2,4.1
Florida,"14,260","2,128",202,14.9,1.5
Georgia,"7,220","1,012",197,14.0,2.8
Hawaii,"1,106",97,28,8.7,2.6
Idaho,"1,138",137,28,12.0,2.5
Illinois,"11,810","1,464",174,12.4,1.5
Indiana,"5,967",816,174,13.7,3.0
Iowa,"2,815",302,72,10.7,2.6
Kansas,"2,522",375,74,14.9,3.0
Kentucky,"3,843",710,125,18.5,3.3
Louisiana,"4,351","1,117",166,25.7,3.8
Maine,"1,201",113,31,9.4,2.6
Maryland,"5,045",541,137,10.7,2.8
Massachusetts,"6,005",585,82,9.7,1.3
Michigan,"9,519","1,347",146,14.1,1.5
Minnesota,"4,486",523,125,11.7,2.8
Mississippi,"2,587",515,84,19.9,3.3
Missouri,"5,107",797,165,15.6,3.3
Montana,844,97,21,11.5,2.6
Nebraska,"1,648",146,38,8.8,2.3
Nevada,"1,521",168,36,11.1,2.5
New Hampshire,"1,131",87,30,7.7,2.6
New Jersey,"7,920",730,102,9.2,1.3
New Mexico,"1,685",356,54,21.1,3.3
New York,"18,210","3,097",230,17.0,1.3
North Carolina,"6,895",980,102,14.2,1.5
North Dakota,627,65,15,10.4,2.5
Ohio,"11,140","1,571",169,14.1,1.5
Oklahoma,"3,232",540,100,16.7,3.1
Oregon,"3,152",373,89,11.8,2.8
Pennsylvania,"11,970","1,496",174,12.5,1.5
Rhode Island,968,99,28,10.3,3.0
South Carolina,"3,633",501,94,13.8,2.6
South Dakota,737,107,20,14.5,2.6
Tennessee,"5,338",779,146,14.6,2.8
Texas,"18,890","3,603",303,19.1,1.6
Utah,"1,926",154,41,8.0,2.1
Vermont,589,45,15,7.6,2.5
Virginia,"6,616",710,150,10.7,2.3
Washington,"5,259",614,137,11.7,2.6
West Virginia,"1,804",336,61,18.6,3.3
Wisconsin,"5,003",453,114,9.0,2.3
Wyoming,485,45,13,9.3,2.8
1993 (12),,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,168",725,133,17.4,3.1
Alaska,570,52,13,9.1,2.1
Arizona,"4,003",615,118,15.4,3.0
Arkansas,"2,421",484,81,20.0,3.3
California,"31,970","5,803",387,18.2,1.2
Colorado,"3,564",354,92,9.9,2.6
Connecticut,"3,259",277,89,8.5,2.8
Delaware,711,73,20,10.2,2.8
District of Columbia,597,158,26,26.4,4.4
Florida,"14,120","2,507",215,17.8,1.5
Georgia,"6,825",919,189,13.5,2.8
Hawaii,"1,135",91,28,8.0,2.5
Idaho,"1,145",150,30,13.1,2.6
Illinois,"11,730","1,600",181,13.6,1.5
Indiana,"5,751",704,165,12.2,2.8
Iowa,"2,809",290,71,10.3,2.5
Kansas,"2,496",327,69,13.1,2.8
Kentucky,"3,740",763,128,20.4,3.5
Louisiana,"4,246","1,119",166,26.4,3.9
Maine,"1,276",196,39,15.4,3.1
Maryland,"4,925",479,130,9.7,2.6
Massachusetts,"5,991",641,86,10.7,1.5
Michigan,"9,560","1,475",153,15.4,1.6
Minnesota,"4,354",506,123,11.6,2.8
Mississippi,"2,584",639,90,24.7,3.5
Missouri,"5,185",832,168,16.1,3.3
Montana,850,127,25,14.9,3.0
Nebraska,"1,641",169,39,10.3,2.5
Nevada,"1,444",141,35,9.8,2.3
New Hampshire,"1,131",112,33,9.9,3.0
New Jersey,"7,968",866,110,10.9,1.3
New Mexico,"1,623",282,49,17.4,3.1
New York,"18,220","2,981",225,16.4,1.3
North Carolina,"6,732",966,102,14.4,1.5
North Dakota,625,70,16,11.2,2.6
Ohio,"11,260","1,461",165,13.0,1.5
Oklahoma,"3,326",662,109,19.9,3.3
Oregon,"3,077",363,87,11.8,3.0
Pennsylvania,"12,070","1,598",179,13.2,1.5
Rhode Island,969,108,30,11.2,3.0
South Carolina,"3,630",678,107,18.7,3.0
South Dakota,717,102,20,14.2,2.6
Tennessee,"5,092",998,161,19.6,3.1
Texas,"18,270","3,177",290,17.4,1.6
Utah,"1,906",203,46,10.7,2.5
Vermont,588,59,16,10.0,2.8
Virginia,"6,470",627,141,9.7,2.1
Washington,"5,224",634,140,12.1,2.6
West Virginia,"1,803",400,64,22.2,3.6
Wisconsin,"5,033",636,132,12.6,2.6
Wyoming,481,64,16,13.3,3.3
1992 (13),,,,,
State,Total population,Number in poverty,Margin of error (±) (29),Percent in poverty,Margin of error (±) (29)
Alabama,"4,226",729,133,17.3,3.1
Alaska,572,58,13,10.2,2.3
Arizona,"3,851",607,117,15.8,3.1
Arkansas,"2,463",430,77,17.5,3.1
California,"31,700","5,197",370,16.4,1.2
Colorado,"3,478",376,95,10.8,2.8
Connecticut,"3,272",321,94,9.8,3.0
Delaware,709,55,18,7.8,2.5
District of Columbia,591,120,23,20.3,4.1
Florida,"13,710","2,139",202,15.6,1.5
Georgia,"6,664","1,177",211,17.7,3.1
Hawaii,"1,187",133,33,11.2,2.8
Idaho,"1,095",166,31,15.2,2.8
Illinois,"11,890","1,857",192,15.6,1.6
Indiana,"5,622",661,160,11.8,2.8
Iowa,"2,846",328,76,11.5,2.6
Kansas,"2,510",279,64,11.1,2.6
Kentucky,"3,720",731,127,19.7,3.5
Louisiana,"4,256","1,043",163,24.5,3.8
Maine,"1,239",167,38,13.5,3.0
Maryland,"4,946",583,141,11.8,2.8
Massachusetts,"5,843",600,82,10.3,1.5
Michigan,"9,322","1,271",143,13.6,1.5
Minnesota,"4,318",561,128,13.0,3.0
Mississippi,"2,725",671,92,24.6,3.5
Missouri,"5,062",795,165,15.7,3.3
Montana,855,118,25,13.8,2.8
Nebraska,"1,606",169,39,10.6,2.5
Nevada,"1,353",199,39,14.7,3.0
New Hampshire,"1,114",97,31,8.7,2.8
New Jersey,"7,803",803,107,10.3,1.3
New Mexico,"1,611",348,53,21.6,3.3
New York,"17,980","2,820",220,15.7,1.3
North Carolina,"6,813","1,080",107,15.8,1.6
North Dakota,616,74,16,12.1,2.6
Ohio,"11,180","1,398",161,12.5,1.5
Oklahoma,"3,269",607,105,18.6,3.3
Oregon,"3,039",346,86,11.4,2.8
Pennsylvania,"12,020","1,425",171,11.9,1.5
Rhode Island,960,119,31,12.4,3.1
South Carolina,"3,675",697,109,19.0,3.0
South Dakota,705,106,20,15.1,2.8
Tennessee,"5,036",858,153,17.0,3.1
Texas,"17,920","3,282",293,18.3,1.6
Utah,"1,830",172,43,9.4,2.3
Vermont,582,61,16,10.5,3.0
Virginia,"6,241",592,138,9.5,2.3
Washington,"5,138",574,133,11.2,2.6
West Virginia,"1,795",401,64,22.3,3.6
